93,7501110000000,Advil Pediatrico Susp,,Advil Pediatrico Susp,NO,4,asdfgh,asdfgh
95,7501290000000,Advil Tab 200 Mg,,Advil Tab 200 Mg,NO,4,asdfgh,asdfgh
96,7501290000000,Advil Tabs C/10,,Advil Tabs C/10,NO,4,asdfgh,asdfgh
97,7501050000000,Afrin Adulto,,Afrin Adulto,NO,4,asdfgh,asdfgh
98,7501050000000,Afrin Infantil ,,Afrin Infantil ,NO,4,asdfgh,asdfgh
99,7501050000000,Afrin Lub Adulto,,Afrin Lub Adulto,NO,4,asdfgh,asdfgh
100, AFUNGIL,Afungil Tab 150 Mg,,Afungil Tab 150 Mg,NO,4,asdfgh,asdfgh
101,7501400000000,Agin C 20,,Agin C 20,NO,4,asdfgh,asdfgh
103,7501130000000,Agrifen Caja ,,Agrifen Caja ,NO,4,asdfgh,asdfgh
104, AGRIFEN PARCHES,Agrifen Parche Suelto Adulto,,Agrifen Parche Suelto Adulto,NO,4,asdfgh,asdfgh
106,7501130000000,Agrulaxa,,Agrulaxa,NO,4,asdfgh,asdfgh
107, AGUA EPURA ,Agua Epura ,,Agua Epura ,NO,2,asdfgh,asdfgh
108, AGUA MINERAL ,Agua Mineral,,Agua Mineral,NO,2,asdfgh,asdfgh
109,7502250000000,Agua Net Fijacion Extrema 500ml,,Agua Net Fijacion Extrema 500ml,NO,3,asdfgh,asdfgh
110, AGUA OXIGENADA,Agua Oxigenada 1 Lts,,Agua Oxigenada 1 Lts,NO,7,asdfgh,asdfgh
111,759684000000,Agua Oxigenada 112 Ml,,Agua Oxigenada 112 Ml,NO,7,asdfgh,asdfgh
112,7501840000000,Agua Oxigenada 224 Ml,,Agua Oxigenada 224 Ml,NO,7,asdfgh,asdfgh
113,7501050000000,Agua Oxigenada 230 Ml,,Agua Oxigenada 230 Ml,NO,7,asdfgh,asdfgh
114, AGUA OXIGENADA 400 M,Agua Oxigenada 400 Ml,,Agua Oxigenada 400 Ml,NO,7,asdfgh,asdfgh
115, AGUA OXIGENADA 50 ML,Agua Oxigenada 50 Ml,,Agua Oxigenada 50 Ml,NO,7,asdfgh,asdfgh
116,759684000000,Agua Oxigenada 56 Ml,,Agua Oxigenada 56 Ml,NO,7,asdfgh,asdfgh
117,7502010000000,Agua Oxigenada Balmen 56ml ,,Agua Oxigenada Balmen 56ml ,NO,7,asdfgh,asdfgh
118,7501050000000,Agua Oxigenada De 100 Ml,,Agua Oxigenada De 100 Ml,NO,7,asdfgh,asdfgh
119,759684000000,Agua Oxigenada De 240 Ml,,Agua Oxigenada De 240 Ml,NO,3,asdfgh,asdfgh
120,7501130000000,Agua Oxigenada De 250 Ml,,Agua Oxigenada De 250 Ml,NO,7,asdfgh,asdfgh
121,7501840000000,Agua Oxigenada De 500ml,,Agua Oxigenada De 500ml,NO,7,asdfgh,asdfgh
122,650240000000,Ah -Micol Jr Jarabe,,Ah -Micol Jr Jarabe,NO,4,asdfgh,asdfgh
123,650240000000,Ah Micol Suspension INFANTIL,,Ah Micol Suspension INFANTIL,NO,4,asdfgh,asdfgh
124,650240000000,Ah Micol Tab,,Ah Micol Tab,NO,4,asdfgh,asdfgh
125,7501080000000,Albendazol 200mg,,Albendazol 200mg,NO,5,asdfgh,asdfgh
126, ALBUM  CUERPOS GEOME,Album Cuerpos Geometricos,,Album Cuerpos Geometricos,NO,6,asdfgh,asdfgh
127, ALCANFOR,Alcanfor Bolsita ,,Alcanfor Bolsita ,NO,9,asdfgh,asdfgh
128, ALCOHOL AZUL 1 LITRO,Alcohol 1 Litro Azul ,,Alcohol 1 Litro Azul ,NO,7,asdfgh,asdfgh
129, ALCOHOL DE 1 LITRO ,Alcohol 1 Litro Rojo,,Alcohol 1 Litro Rojo,NO,7,asdfgh,asdfgh
130, ALCOHOL 125 ML ROJO,Alcohol 125  Ml Rojo,,Alcohol 125  Ml Rojo,NO,7,asdfgh,asdfgh
131, ALCOHOL 500 ML ROJO,Alcohol 500 Ml Rojo Az,,Alcohol 500 Ml Rojo Az,NO,7,asdfgh,asdfgh
132,7503020000000,Alcohol Azul 125 Ml,,Alcohol Azul 125 Ml,NO,7,asdfgh,asdfgh
133,7501870000000,Alcohol Azul 250 Ml,,Alcohol Azul 250 Ml,NO,7,asdfgh,asdfgh
